"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"xsycon.nlogo"
"x-sycon experiment"
"10/20/2025 03:06:46:321 -0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-carriers","p-new-DE","max-blocked-frac","kappa","run-seed","[step]","service-throughput","miss-rate","mean-ttfr","mean-latency","energy-per-task","coverage-entropy","field-mean","field-var"
"107","10","0.02","0.22","1.2","7","5000","0.013","0.2631578947368421","123.94117647058823","325.8777777777778","768.4153846153846","3.742756836743265","0.6988435708863453","3.452077616110688"
"108","10","0.02","0.22","1.2","8","5000","0.011","0.30337078651685395","118.72727272727273","362.2926829268293","907.0363636363636","3.4550837764509454","0.7225309431593295","3.672501102809843"
"109","10","0.02","0.22","1.2","9","5000","0.0086","0.4659090909090909","95.18181818181819","424.9166666666667","1160.6046511627908","3.649568412979476","0.8617554400769967","4.274886447301342"
"110","10","0.02","0.22","1.2","10","5000","0.0124","0.24242424242424243","121.078125","342.6162790697674","805.6129032258065","3.8428125722659","0.7499822054443592","3.6841862763150885"
"111","10","0.02","0.22","1.6","1","5000","0.0084","0.45263157894736844","125.88888888888889","439.05882352941177","1190.047619047619","3.5122481702001678","0.9417167925169242","4.769509412084895"
"112","10","0.02","0.22","1.6","2","5000","0.0112","0.3684210526315789","152.69642857142858","420.9340659340659","892.125","3.7481445672587794","0.9379567568057621","4.677801755548832"
"113","10","0.02","0.22","1.6","3","5000","0.0116","0.4336283185840708","110.40677966101696","425.58878504672896","860.9310344827586","3.6807096371470003","1.1517569300359374","5.580862702760359"
"114","10","0.02","0.22","1.6","4","5000","0.0098","0.45918367346938777","65.44897959183673","411.47872340425533","1019.1836734693877","3.4157812699494436","0.9671722446834142","4.639291401355303"
"115","10","0.02","0.22","1.6","5","5000","0.0124","0.3813559322033898","114.84375","404.0934579439252","806","3.7424359720805356","1.1192912668972184","5.202883143582431"
"116","10","0.02","0.22","1.6","6","5000","0.0138","0.3697478991596639","105.63013698630137","373.5575221238938","723.5217391304348","3.6624998201851997","1.0807907475765075","5.322512763866873"
"117","10","0.02","0.22","1.6","7","5000","0.008","0.48863636363636365","139.67441860465115","455.6024096385542","1248.225","3.5670947272474285","0.9427641068332548","4.530920110879396"
"118","10","0.02","0.22","1.6","8","5000","0.009","0.40860215053763443","102.78260869565217","424.89156626506025","1110.6","3.7568030359524447","0.880694747197958","4.5895304407425614"
"119","10","0.02","0.22","1.6","9","5000","0.0112","0.46218487394957986","94.54385964912281","432.77477477477476","891.2142857142857","3.6829271321412884","1.2332945700906475","6.25362905437866"
"120","10","0.02","0.22","1.6","10","5000","0.008","0.47115384615384615","121.28571428571429","466.70786516853934","1246.775","3.522478948783789","1.1401232418123441","5.41581507562318"
"121","10","0.02","0.28","0.5","1","5000","0.0142","0.16666666666666666","134.58333333333334","311.7752808988764","702.2816901408451","4.103498097104718","0.7319584282428013","3.728829486364188"
"122","10","0.02","0.28","0.5","2","5000","0.0166","0.21238938053097345","146.69767441860466","325.5233644859813","597.0963855421687","4.307911846177543","0.8601022708815695","4.129182319342148"
"123","10","0.02","0.28","0.5","3","5000","0.0132","0.25","142.3582089552239","346.7111111111111","752.7575757575758","4.167849873136324","0.7553495330114224","3.9749251442169378"
"124","10","0.02","0.28","0.5","4","5000","0.0136","0.24271844660194175","106.10144927536231","320.64516129032256","731.6029411764706","3.8992184626218536","0.7337284804488254","3.5508260222605115"
"125","10","0.02","0.28","0.5","5","5000","0.0174","0.14545454545454545","116.15384615384616","255.11650485436894","571.9310344827586","4.24921871800285","0.6371286338694141","2.9786804042066524"
"126","10","0.02","0.28","0.5","6","5000","0.0112","0.3076923076923077","121.66101694915254","349.17857142857144","884.875","3.921172446375891","0.7030221225528344","3.7149786879581415"
"127","10","0.02","0.28","0.5","7","5000","0.0146","0.20588235294117646","164.18666666666667","335.01063829787233","678.7123287671233","4.045272497553904","0.7435785519553397","3.6840174222126554"
"128","10","0.02","0.28","0.5","8","5000","0.0192","0.10256410256410256","123.75257731958763","262.99074074074076","518.8229166666666","4.210975091928419","0.6541178490828131","3.1446042592202974"
"129","10","0.02","0.28","0.5","9","5000","0.0154","0.23853211009174313","166.2560975609756","331.33009708737865","641.1428571428571","4.221156527393095","0.8116178029449352","4.035430558711"
"130","10","0.02","0.28","0.5","10","5000","0.0138","0.32142857142857145","92.10144927536231","351.6380952380952","717.1159420289855","3.992620566553436","0.9077530720718163","4.809993438116712"
"131","10","0.02","0.28","0.8","1","5000","0.0112","0.3333333333333333","129.35","361.85227272727275","887","3.8600728891518377","0.7671979088594767","3.678585835377681"
"132","10","0.02","0.28","0.8","2","5000","0.0102","0.41935483870967744","91.4423076923077","395.9888888888889","976.9019607843137","3.7228649922689123","0.8512737605117668","4.241945806231606"
"133","10","0.02","0.28","0.8","3","5000","0.01","0.3595505617977528","99.07843137254902","378.7560975609756","996.96","3.6953272239107693","0.8076205592688593","3.907065988292987"
"134","10","0.02","0.28","0.8","4","5000","0.0168","0.2803030303030303","126.55813953488372","352.6528925619835","592.797619047619","4.027567196358949","1.0823759681217435","5.495887497228026"
"135","10","0.02","0.28","0.8","5","5000","0.0146","0.22641509433962265","132.62666666666667","325.9484536082474","683.3972602739726","4.054228565457562","0.8083140880127826","4.00468912856752"
